title,price,area,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"House for Sale at Surya tole, Koteshwor-32, Kathmandu","Rs.60,000,000",sq m0-9-2-0,"Surya tole, Koteshwor-32, Kathmandu",Kathmandu,3.5,13,7,4,,2,1,https://99aana.com/property/house-for-sale-at-surya-tole-koteshwor-32-kathmandu-8542/
"House for sale at Imadol, Lalitpur",Rs. 2 crore 10 Lakh,sq m0-3-0-0,"Imadol, Lalitpur",Lalitpur,2.5,,,,,,,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-8546/
"House for sale at Dhumbarahi, Kathmandu",Negotiable,sq m0-5-0-0,"Dhumbarahi, Kathmandu",Kathmandu,2,,,,,,,https://99aana.com/property/land-for-sale-at-dhumbarahi-kathmandu-8537/
"House for sale at Shesamati, Kathmandu",Negotiable,sq m0-3-0-0,"Shesamati, Kathmandu",Kathmandu,1,4,,,,,1,https://99aana.com/property/house-for-sale-at-shesamati-kathmandu-8540/
"House for sale at Sangam Tole, Pokhara-13, Kaski","Rs.28,000,000",sq m0-6-2-0,"Sangam Tole, Pokhara-13, Kaski",Kaski,2.5,8,5,3,,1,1,https://99aana.com/property/house-for-sale-at-sangam-tole-pokhara-13-kaski-8534/
"House for sale at TiKathali, Lalitpur","Rs.13,000,000",sq m0-3-0-0,"TiKathali, Lalitpur",Lalitpur,1,4,2,1,,,1,https://99aana.com/property/house-for-sale-at-tiKathali-lalitpur-8533/
"House for sale at Kapan, Budhanilkantha, Kathmandu","Rs.22,900,000",sq m0-3-1-0,"Kapan, Budhanilkantha, Kathmandu",Kathmandu,3.5,12,,3,,,1,https://99aana.com/property/house-for-sale-at-kapan-budhanilkantha-kathmandu-8531/
"House for sale at Lubhu, Lalitpur","Rs.22,000,000",sq m0-3-0-2,"Lubhu, Lalitpur",Lalitpur,3.5,13,7,4,3,3,1,https://99aana.com/property/house-for-sale-at-lubhu-lalitpur-8532/
"House for sale at Imadol, Lalitpur","Rs.20,500,000",sq m0-3-0-1,"Imadol, Lalitpur",Lalitpur,2.5,,,,,,,https://99aana.com/property/house-for-sale-at-imadol-lalitpur-8526/
"House for sale at Kapan, Budhanilkantha, Kathmandu",Negotiable,sq m0-5-1-0,"Kapan, Budhanilkantha, Kathmandu",Kathmandu,2.5,11,6,3,,3,1,https://99aana.com/property/house-for-sale-at-kapan-budhanilkantha-kathmandu-8524/
