title,price,location,district,floor,room,bedroom,bathroom,livingroom,kitchen,parking,link
"Residential House On Sale At Harisiddhi, Lalitpur","1,50,00,000","Lalitpur, Gumach3.5 KM from Satdobato Chowk, Ring Road.",Lalitpur,One Floors,,2 Bed Room,1 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7353
"Residential Bungalow On Sale At Sanogaun, Lalitpur","1,35,00,000","Lalitpur, Mahalaxmi, Closed To Don Bosco School3.5 KM from Gwarko Chowk, Ring Road.",Lalitpur,Two And Half Floors,,6 Bed Room,4 Bath Room,1 Living Room,1 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7352
"Residential Bungalow On Sale At Imadol, Lalitpur","3,00,00,000","Lalitpur, Mahalaxmi, Ratamakai ChowkBasuki Basti, 900 meters from Gwarko Chowk, Ring Road.",Lalitpur,Three Floors,,5 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7347
"Well furnished House On Sale At Sitapaila, Kathmandu","1,80,00,000","Kathmandu, Nagarjun",Kathmandu,Three And Half Floors,,4 Bed Room,3 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7344
"Residential Semi Bungalow On Sale At Sitapaila, Kathmandu","3,15,00,000","Kathmandu, Nagarjun, Ward No.",Kathmandu,Two And Half Floors,,7 Bed Room,5 Bath Room,1 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7343
"Residential House On Sale At Bhangal, Kathmandu","1,25,00,000","Kathmandu, Budhanilkantha",Kathmandu,One Floors,,3 Bed Room,2 Bath Room,1 Living Room,1 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7340
"Residential House On Sale At Kapan, Kathmandu","2,30,00,000","Kathmandu, Budhanilkantha, Jyotinagar",Kathmandu,Two And Half Floors,,7 Bed Room,4 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7339
"Residential Semi Bungalow On Sale At Baneshwor, Kathmandu","5,00,00,000","Kathmandu, Katyani Temple50 meter near from Babylon School and Katyani Temple.",Kathmandu,Two And Half Floors,,7 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7333
"Commercial Land with 2 Houses on Sale at Kumaripati, Suitable for Commercial Complex","8,50,00,000","LalitpurOpposite of Agni Party Palace, Kumaripati",LalitpurOpposite of Agni Party Palace,Two And Half Floors,,7 Bed Room,5 Bath Room,2 Living Room,2 Kitchen,0,http://www.1ropani.com/HouseDetail.aspx?ID=7322
"Residential House On Sale At Jorpati, Kathmandu","1,50,00,000","Kathmandu, Gokarneshwar, Nearby Lama Petrol Pump3.25 KM from Chabahil Chowk, Ring Road.",Kathmandu,Two Floors,,4 Bed Room,2 Bath Room,2 Living Room,2 Kitchen,1,http://www.1ropani.com/HouseDetail.aspx?ID=7319
